Tag;Verbrauch;Lern Einheit
28.11.2016 00:00:00;07:30:00;1
29.11.2016 00:00:00;03:15:00;3
30.11.2016 00:00:00;07:30:00;1
01.12.2016 00:00:00;03:15:00;3
02.12.2016 00:00:00;04:00:00;3
05.12.2016 00:00:00;00:00:00;6
06.12.2016 00:00:00;03:15:00;3
07.12.2016 00:00:00;07:30:00;1
08.12.2016 00:00:00;03:15:00;3
09.12.2016 00:00:00;04:00:00;3
12.12.2016 00:00:00;07:30:00;1
13.12.2016 00:00:00;07:30:00;1
14.12.2016 00:00:00;03:15:00;3
15.12.2016 00:00:00;03:15:00;3
16.12.2016 00:00:00;04:00:00;3
19.12.2016 00:00:00;07:30:00;1
20.12.2016 00:00:00;07:30:00;1
21.12.2016 00:00:00;07:30:00;1
22.12.2016 00:00:00;08:15:00;1
23.12.2016 00:00:00;03:15:00;3
26.12.2016 00:00:00;00:00:00;6
27.12.2016 00:00:00;00:00:00;6
28.12.2016 00:00:00;00:00:00;6
29.12.2016 00:00:00;00:00:00;6
30.12.2016 00:00:00;00:00:00;6
02.01.2017 00:00:00;00:00:00;6
03.01.2017 00:00:00;00:00:00;6
04.01.2017 00:00:00;00:00:00;6
05.01.2017 00:00:00;00:00:00;6
06.01.2017 00:00:00;00:00:00;6
09.01.2017 00:00:00;03:15:00;3
10.01.2017 00:00:00;07:15:00;3
11.01.2017 00:00:00;06:30:00;3
12.01.2017 00:00:00;00:00:00;6
13.01.2017 00:00:00;00:00:00;6
16.01.2017 00:00:00;07:30:00;1
17.01.2017 00:00:00;07:30:00;1
17.01.2017 00:00:00;01:30:00;3
18.01.2017 00:00:00;07:30:00;1
19.01.2017 00:00:00;07:30:00;1
20.01.2017 00:00:00;08:15:00;1
23.01.2017 00:00:00;07:30:00;1
24.01.2017 00:00:00;07:30:00;1
25.01.2017 00:00:00;03:15:00;3
26.01.2017 00:00:00;05:45:00;3
26.01.2017 00:00:00;01:30:00;3
27.01.2017 00:00:00;04:00:00;3
30.01.2017 00:00:00;07:30:00;1
31.01.2017 00:00:00;07:30:00;1
01.02.2017 00:00:00;07:30:00;1
02.02.2017 00:00:00;07:30:00;1
03.02.2017 00:00:00;07:30:00;1
06.02.2017 00:00:00;07:30:00;1
07.02.2017 00:00:00;07:30:00;1
08.02.2017 00:00:00;07:30:00;1
09.02.2017 00:00:00;08:15:00;1
10.02.2017 00:00:00;09:00:00;1
13.02.2017 00:00:00;07:30:00;1
14.02.2017 00:00:00;07:30:00;1
15.02.2017 00:00:00;08:15:00;1
16.02.2017 00:00:00;05:45:00;3
17.02.2017 00:00:00;08:15:00;1
20.02.2017 00:00:00;07:30:00;1
21.02.2017 00:00:00;00:00:00;6
22.02.2017 00:00:00;07:30:00;1
23.02.2017 00:00:00;00:00:00;6
24.02.2017 00:00:00;02:15:00;3
27.02.2017 00:00:00;02:15:00;3
28.02.2017 00:00:00;00:00:00;6
01.03.2017 00:00:00;02:15:00;3
02.03.2017 00:00:00;00:00:00;6
